ALJARAFE-O3-AT_IN,ALJARAFE-PM10-AT_IN,ALJARAFE-NO2-AT_IN,ALJARAFE-TMP Media-AT_IN,ALJARAFE-VV-AT_IN
continuous,continuous,continuous,continuous,continuous
,,,,
98.5,7,4,15.3333,11.3333
98,12.8333,3.3333,18,15.6667
95.5,25.3333,3,17.8333,30
92.5,15.3333,2.8333,17.8333,31.1667
92.8333,27.8333,3.5,17,22.3333
88.8333,23.8333,4.5,16.5,18
83.8333,21.1667,4.5,15.8333,15.1667
68.3333,25,5,15,9.6667
64.3333,19.3333,5.3333,14.6667,9
63.1667,14.6667,5.1667,14,8.8333
62.6667,21.8333,4.3333,13.5,6.6667
60.5,24.5,5,14,5.8333
50.8333,16.1667,5,14,6.3333
48.3333,17.6667,5,14,5.6667
48.5,16,5.5,13.3333,6
46.6667,17.1667,6.1667,13,5.1667
38.3333,18.6667,15.3333,13,5.3333
39.5,17.3333,17.8333,13,4.6667
48.1667,6.6667,17.5,15.1667,7.1667
66.6667,15.5,12.1667,17,12.8333
89.3333,10.8333,5.5,18.5,14.3333
92,21.5,5.3333,19.1667,13.6667
93,31.1667,5.8333,19.1667,13.1667
98.6667,5,5.5,21.8333,12.6667
103.167,8.8333,8.3333,22.3333,13.1667
103.167,12,13.6667,23,13.8333
99.3333,34,17.1667,23,14.6667
103,32.1667,12.8333,22.3333,15.6667
94.5,34.8333,11.5,21.6667,15.5
80.5,44,18.3333,20.3333,10.8333
67.3333,36.1667,30,19,10.5
42.6667,27.5,56.6667,19,6.8333
39.8333,28.3333,54.3333,19,7.3333
60,31.5,25.3333,18.1667,8
65,15.8333,17.3333,18,8.3333
27,30.6667,37.5,17.1667,8.5
27.5,33.8333,30,16,10.1667
11,32.5,39.1667,16,9.1667
16.5,29,35.8333,16,14.6667
30.8333,18.1667,20.6667,16,16.3333
22.3333,14.5,28.5,16,18.8333
17.8333,15.1667,39,16,17.3333
26.3333,11.6667,35.6667,16.6667,17.8333
37.5,6.3333,29.8333,18.1667,17.5
49.1667,5,32.8333,21.3333,15.6667
73.5,30.3333,24,23.8333,12.1667
91.5,23.6667,14.5,25.1667,10
101.833,18.5,9.8333,26,13.1667
108.333,13.5,13,27,14.3333
116.833,16.5,12.1667,27.8333,11.8333
122.333,18,19.3333,27.8333,10.8333
123.833,14.1667,7.1667,28.3333,8.3333
124.333,17.3333,5.3333,27.8333,5
101.5,49.3333,11.5,25,11.3333
84.1667,40,17.6667,22.8333,11.5
77.6667,32.6667,12.3333,21.1667,13.8333
72.5,16.6667,10,19.3333,12.1667
60.1667,24,13.6667,18,4.1667
45.6667,24.3333,20.3333,18,5.6667
25.5,38,42.3333,17.5,5.5
28.3333,38,33.8333,17.1667,10.8333
52.1667,24.3333,14.1667,15.8333,18.3333
63,13.3333,12.1667,15,18.6667
65.3333,8.5,13.6667,15.8333,16.5
59,10.3333,22.5,16,20.5
44.3333,15.1667,36.8333,16,17
45.8333,14.8333,36.1667,16.6667,15.3333
61.5,8.8333,22.5,19,15.6667
53.1667,37.5,33.5,18.8333,14.1667
54.5,16.1667,36.3333,20.3333,13.3333
61.6667,26.6667,30.8333,21,14.3333
81.5,26.1667,19.5,21.3333,14.8333
90.1667,7,12.3333,22,17.5
81.5,37.5,15.3333,19.8333,18.1667
68.5,24.6667,21.6667,19,14.5
59.3333,21.6667,23.3333,18.3333,10.1667
46.8333,18.6667,31.5,18,8.6667
22.5,11,53.8333,18,9
21.5,30.5,49.6667,17,5.3333
18.8333,41.3333,39.3333,16.1667,6
49,14.3333,16.1667,15.5,13
58,10.1667,9.3333,15.1667,10.6667
46.8333,30.6667,10.1667,15,8.1667
37.6667,42.5,9.1667,15,7.1667
36.3333,57.3333,10.1667,15,8
43.5,52.1667,6.5,15.1667,11.6667
44.1667,36.8333,8,15,12.3333
47.6667,24,7.1667,15,11.1667
42.6667,26.3333,10.1667,15,8.6667
71,17.6667,11.5,14.3333,20.3333
71,5,14.5,14,8.8333
70.3333,5,14,14.3333,5
73,5,15.1667,15.6667,7
82.1667,5,16.5,19.6667,8.1667
86.8333,6.6667,11.8333,20.8333,13
92.6667,19,4.6667,20.6667,18.6667
86.1667,44.8333,4.6667,18.8333,19.1667
84.8333,9.5,5.6667,20.3333,21
89.1667,10.3333,5,20.3333,22.1667
96.8333,6.8333,3,20.8333,30.6667
91.6667,20.5,3.3333,20,32.5
94.5,35.8333,4.5,18.3333,25
87.3333,30.8333,4.8333,17,20
79.5,21,5,17,15.6667
68.5,22,5,16.1667,7.5
67.3333,13,5,16,11.6667
58.1667,11.5,6,16,11.6667
55.1667,14,6.3333,16,11.1667
58.8333,18.5,5.3333,16,10.3333
51.8333,19.6667,5.5,16,10.8333
58.5,18.1667,5.3333,16,11.8333
59.5,16.3333,4.6667,16,9.1667
52,18.1667,6.8333,15.6667,6.6667
49.1667,18.6667,8.5,16,7.5
52.8333,16,7.5,16.6667,5.6667
56,9.1667,11.1667,18,7.3333
70.8333,6.6667,6.5,20.1667,11.5
78,12,4.1667,20.6667,17.3333
76.1667,14.3333,4.3333,20.8333,21
87,9.1667,4,21.6667,20.3333
91.5,5.3333,3.8333,22.6667,25
91.5,8.3333,3.6667,23,24.1667
90.8333,11.8333,3,23.3333,21
95.3333,40.5,5,22.1667,22.6667
