ALJARAFE-O3-AT_IN,ALJARAFE-PM10-AT_IN,ALJARAFE-NO2-AT_IN,ALJARAFE-TMP Media-AT_IN,ALJARAFE-VV-AT_IN
continuous,continuous,continuous,continuous,continuous
,,,,
101.144,38.6001,15.319,26.3562,18.9183
37.1246,42.2509,17.8363,15.3832,4.37234
53.0665,84.0663,33.8121,30.6058,23.2018
57.4817,14.5839,18.2724,15.4866,7.30107
80.6357,45.7547,19.5279,14.1089,0.953126
72.0294,63.0137,29.1874,23.5507,5.67247
38.7718,19.3537,47.6339,13.6042,8.25884
36.5733,29.3591,46.3829,18.7235,9.77735
65.9914,13.4441,2.33161,11.2426,4.32638
65.3511,16.8506,8.17935,15.9434,6.92175
53.0715,17.9931,11.6136,22.4369,10.7643
30.4555,65.4273,15.3318,18.5544,13.867
36.8799,62.493,44.2218,34.8236,6.6452
76.8248,36.9038,11.905,23.7568,14.0234
18.6369,34.6545,16.9318,14.7625,1.24971
93.5413,5.98924,2.60925,23.2421,10.5946
84.6061,19.0374,11.7173,35.8166,29.2885
54.5661,19.6952,28.4263,17.9137,12.872
63.0292,43.5488,33.1749,21.8282,7.04414
9.02794,46.9712,39.7585,6.80466,4.42703
24.7417,76.1951,40.7426,19.8673,0.551544
15.7844,20.2374,23.6026,14.8554,4.06364
3.89094,56.602,79.5789,6.46089,8.75145
62.8205,105.517,18.4564,15.1816,1.6062
63.0946,16.9551,2.61365,19.1872,6.62203
0,19.2831,62.2636,6.37545,2.78395
101.308,38.023,3.1281,29.1763,4.60849
24.9616,46.6872,44.7251,20.4207,1.89756
105.787,5.84945,4.25775,23.0502,7.5583
64.2161,8.10617,7.55546,12.5987,1.1188
71.0323,22.9307,2.96654,18.7416,23.6792
22.0214,86.2805,19.4289,9.44817,10.9476
135.386,13.6877,3.09077,26.3956,5.38157
21.141,20.6377,20.6998,12.6543,0.674731
40.6029,6.59071,3.26205,16.1047,4.79137
89.2898,41.0962,5.89377,26.9191,15.2779
138.311,23.724,2.16143,35.8203,36.608
72.8551,14.8918,15.6289,25.2085,5.94288
88.6275,9.92329,4.49619,24.8345,1.08153
80.3092,46.841,8.58115,15.395,24.1292
177.731,23.5964,5.42376,40.7942,20.2952
45.0445,24.5969,17.5047,10.1197,13.7169
17.8257,46.7892,43.4657,14.9253,0.602261
16.3325,35.2048,34.432,5.7004,1.65276
47.6155,12.9909,16.0526,11.8526,10.5788
44.3638,96.9735,39.3362,23.2194,15.2465
74.0934,21.2438,3.56645,22.6385,16.3241
178.123,28.2712,1.33724,30.3828,16.412
66.6357,45.3884,24.4604,21.2119,3.40714
7.80903,18.888,28.9139,11.8157,18.9797
64.2034,23.8949,15.3854,19.8223,13.5774
15.6693,37.7045,32.7675,19.2321,4.12948
86.8821,14.1362,6.13443,12.4667,6.14502
79.528,10.5541,26.3162,22.4566,1.84602
40.5022,7.63752,26.8793,7.59046,3.73282
36.3183,24.535,17.656,15.2936,4.05524
40.979,12.4081,11.2307,7.17725,3.43674
62.5759,24.9628,23.3876,27.5203,23.1646
101.629,20.6216,13.71,31.2317,19.1809
71.6063,45.0527,14.8732,18.6893,12.8108
101.31,23.665,7.94154,26.4362,3.19646
14.7944,32.4515,41.9028,10.8229,3.94405
74.0782,17.7976,14.507,21.9695,5.9475
77.9189,35.7767,7.02172,21.0448,29.6674
19.67,20.949,32.403,21.4466,8.59145
96.2052,9.42685,0.417475,13.8479,9.31543
70.7343,51.4157,8.50088,20.4322,9.4809
88.9564,57.5015,10.1994,35.2948,6.926
72.6302,23.4613,5.21691,19.6207,8.54596
33.5765,21.2286,11.4351,12.3696,11.8557
63.8224,9.89536,6.53112,12.2129,0.611101
52.2722,128.341,23.8629,20.905,17.9213
32.4814,44.5651,43.1068,13.4887,14.953
91.1726,26.6545,5.80284,24.0857,10.878
87.6757,28.7616,14.6288,25.7432,4.58216
65,44.3366,48.7566,23.7572,40.0548
31.6533,13.5588,30.322,11.6695,4.86902
55.4354,17.7216,17.8186,21.5171,8.90766
55.4,21.8773,30.0963,25.8364,7.9685
92.6064,7.99634,3.65256,19.8407,5.40322
64.7199,186.056,48.7658,30.1555,15.2947
24.3935,19.6355,17.0329,16.895,3.71916
30.1054,21.4331,13.166,9.9404,1.37675
95.3881,36.6718,19.5125,18.7605,13.5372
65.2797,13.9244,8.11018,9.54603,1.69691
80.153,13.7554,17.5403,8.34126,1.81308
32.4681,8.20566,37.3763,6.2655,21.2615
106.754,5.878,3.92299,24.9299,7.41337
16.2073,26.0544,26.0958,11.8699,0.792462
148.882,16.3354,10.8408,42.5636,28.2431
53.7224,21.4071,14.6046,23.4406,3.56409
19.7296,18.3336,41.8917,10.8561,5.88416
24.9044,35.7299,52.0713,2.10204,0.00574841
113.168,25.2424,3.99074,22.8058,10.8569
60.771,35.287,16.3358,16.7327,22.1051
25.6568,40.5226,27.3566,24.8136,3.46433
38.4778,23.5742,19.4461,14.4759,0.723625
53.3454,16.5121,9.38592,9.82797,10.9073
81.7686,13.4041,6.6456,28.7833,17.9995
125.221,9.44383,4.31668,27.9342,12.0559
65.6237,9.93322,4.38644,26.5853,15.5084
31.7849,15.5637,9.05437,8.79434,2.71647
9.92195,35.2713,72.125,15.1326,14.7234
61.5061,17.6305,16.15,28.2467,10.4208
