ALJARAFE_O3_AT_IN,ALJARAFE_PM10_AT_IN,ALJARAFE_NO2_AT_IN,ALJARAFE_TMP_Media_AT_IN,ALJARAFE_VV_AT_IN
continuous,continuous,continuous,continuous,continuous
,,,,
101.295,38.9809,11.839,26.1336,19.4098
38.5837,39.287,24.2121,16.159,7.92658
48.8027,87.3078,40.6132,27.2553,21.5483
56.8505,13.1034,12.3557,13.0868,13.2277
81.5626,43.4157,18.7767,12.1265,0.906904
68.1103,67.1143,31.8543,18.4861,3.81448
36.6635,21.3679,44.5028,16.6656,4.98528
35.0528,26.1638,46.5388,16.9906,7.17512
65.3053,11.943,-3.05867,11.0993,7.11833
68.1932,22.1206,3.30423,16.5011,6.11431
50.8777,16.5259,9.52021,16.1796,12.7647
30.3661,64.7667,9.15036,18.6928,11.6948
37.8716,63.8318,45.2962,27.4169,6.85585
78.5515,38.7642,10.7569,26.3421,16.5237
18.1066,34.4037,18.3664,12.5912,-0.752028
88.8813,6.17081,1.32872,27.5471,7.56324
79.7854,19.4,8.41228,42.5749,29.0787
58.6789,19.2266,36.866,12.1386,14.7834
63.0947,44.5613,40.801,22.5349,8.44248
13.5346,47.2386,39.1405,7.65788,1.75924
22.36,74.978,43.2961,16.7914,-4.49123
15.7681,16.6962,21.9077,18.7011,2.76476
7.89696,54.291,82.4691,0.0357735,10.4456
67.4374,105.108,6.64933,10.8234,-1.1764
66.5045,18.3787,1.90361,21.2421,4.48283
-1.89664,18.3004,58.6597,1.47312,4.15798
97.6453,40.5293,3.77073,28.4726,6.96836
26.9797,44.2855,40.9207,24.4135,1.51577
101.06,7.32312,-0.615783,21.6593,12.5413
68.2376,9.74415,4.32418,14.4863,2.26955
66.0333,23.5228,5.16922,19.9053,23.6576
19.1479,87.3641,20.5351,5.72255,11.1983
137.936,12.1945,7.29649,27.8758,4.52065
25.91,23.5396,18.9176,14.3579,4.44667
37.1959,5.17095,4.07765,23.7693,8.64126
90.0542,41.6124,8.38677,28.176,15.6537
141.635,22.1029,-0.0298145,33.0047,32.4311
70.4252,12.7175,15.4697,27.6606,11.189
89.7209,4.85136,3.91049,20.6084,4.69472
79.4563,39.2234,6.83988,17.3438,22.8524
175.668,20.8645,2.43368,37.2164,18.048
49.586,22.8475,16.3632,10.068,17.0613
21.1465,47.7107,43.8737,20.5151,-1.96104
15.4779,30.4894,37.1482,8.00509,-3.86343
48.6149,14.7443,18.2629,10.1151,11.559
45.92,95.9056,35.667,26.1426,10.2935
76.816,29.0913,-3.21011,20.8909,15.8872
177.91,29.6485,4.09642,29.1945,13.6563
69.0575,39.052,29.0257,18.8292,0.437736
2.10096,21.5032,26.8985,13.1857,19.2556
62.2113,27.1674,18.7432,17.9783,15.4736
19.589,36.5946,33.8398,24.8393,-1.88203
87.492,18.4011,4.95727,12.7497,9.55313
76.0104,10.7438,26.0654,23.6265,2.16171
41.0403,10.7451,32.218,11.1273,4.41686
35.6522,23.9492,23.324,16.6866,1.0999
41.8549,14.254,12.3598,2.89506,1.30409
66.1097,23.9344,25.0886,33.1302,21.1064
104.641,23.4287,14.0178,31.187,20.676
73.7058,40.1334,13.8425,21.6128,11.1212
96.5566,25.6791,11.7706,23.0236,7.84276
12.7929,31.0737,41.5541,9.623,4.14661
74.9734,15.5185,17.2646,25.7783,4.7295
78.632,31.3084,7.70552,26.952,27.234
19.3212,23.8841,34.2088,17.3037,9.79139
99.0446,6.4892,2.24368,14.2146,12.0956
67.3951,50.5825,9.05646,24.6348,11.3715
92.2598,52.7875,9.77621,35.2256,7.19985
75.4468,22.0193,4.39351,27.4954,9.33328
35.2319,21.1182,15.4659,10.3273,8.63041
69.7157,15.4822,7.26363,11.0236,0.916732
49.618,128.053,26.989,22.6217,20.5811
34.2891,43.156,43.9228,14.2463,16.8784
94.6406,33.1922,10.0858,27.8884,13.7084
84.335,26.1001,15.4895,21.606,2.64654
67.4969,40.9471,41.772,23.2046,41.4308
36.685,12.8565,32.7266,11.7,2.36884
52.9333,19.4853,15.3635,21.6898,13.998
51.5814,24.665,32.5449,25.732,5.16822
92.407,5.32039,3.2839,19.2428,1.47567
63.2964,184.862,52.2216,32.213,15.2896
22.3183,21.9997,17.0329,13.9234,6.63573
29.5786,20.863,13.3193,13.514,1.0908
95.2284,39.8766,20.9102,14.8875,16.2625
59.3596,12.594,7.69683,8.16532,-0.207512
76.8618,10.9381,14.836,11.8303,-0.296358
30.0046,12.0043,35.8236,3.23325,17.7785
104.543,3.57675,4.13583,30.0686,11.0907
15.5364,19.6303,26.2745,8.7691,5.69307
149.619,14.6631,10.5617,42.4952,30.789
51.45,19.7698,16.998,27.5024,0.00156437
28.2339,21.1629,46.5443,9.20873,7.4924
24.1293,30.0921,50.8998,6.69863,2.66881
112.67,23.3752,4.45193,21.7221,13.3555
62.9755,39.3017,14.5785,17.3871,26.6603
27.2755,40.2322,29.812,25.2619,2.77108
34.452,26.719,22.8264,15.484,0.336189
48.6042,13.907,6.33358,7.83428,10.3231
79.2973,11.8555,10.9275,28.3099,18.6617
123.083,9.72268,7.01346,29.0101,10.6747
66.8056,6.35733,8.84577,31.2925,14.5657
31.3873,11.5033,12.5667,11.8096,0.594024
13.9989,35.411,70.4356,15.6225,15.5194
57.5838,14.6062,14.4033,25.4584,6.24341
